id,topic1,topic2,topic3,published_year
Combinable_Wands,Computer science,Programming languages,Logics,2022
Package_logic,Computer science,Programming languages,Logics,2022
Registers,Computer science,Programming languages,Logics,2021
Correctness_Algebras,Computer science,Programming languages,Logics,2021
Relational-Incorrectness-Logic,Computer science,Programming languages,Logics,2020
Differential_Game_Logic,Computer science,Programming languages,Logics,2019
QHLProver,Computer science,Programming languages,Logics,2019
UTP,Computer science,Programming languages,Logics,2019
IMP2,Computer science,Programming languages,Logics,2019
Hoare_Time,Computer science,Programming languages,Logics,2018
Differential_Dynamic_Logic,Computer science,Programming languages,Logics,2017
Complx,Computer science,Programming languages,Logics,2016
Separata,Computer science,Programming languages,Logics,2016
KAD,Computer science,Programming languages,Logics,2016
ConcurrentIMP,Computer science,Programming languages,Logics,2015
RefinementReactive,Computer science,Programming languages,Logics,2014
KAT_and_DRA,Computer science,Programming languages,Logics,2014
Automatic_Refinement,Computer science,Programming languages,Logics,2013
Ribbon_Proofs,Computer science,Programming languages,Logics,2013
Kleene_Algebra,Computer science,Programming languages,Logics,2013
Separation_Logic_Imperative_HOL,Computer science,Programming languages,Logics,2012
Separation_Algebra,Computer science,Programming languages,Logics,2012
TLA,Computer science,Programming languages,Logics,2011
MonoBoolTranAlgebra,Computer science,Programming languages,Logics,2011
DataRefinementIBP,Computer science,Programming languages,Logics,2010
BytecodeLogicJmlTypes,Computer science,Programming languages,Logics,2008
SIFPL,Computer science,Programming languages,Logics,2008
Simpl,Computer science,Programming languages,Logics,2008
Abstract-Hoare-Logics,Computer science,Programming languages,Logics,2006
Interpreter_Optimizations,Computer science,Programming languages,Misc,2020
Case_Labeling,Computer science,Programming languages,Misc,2015
Pop_Refinement,Computer science,Programming languages,Misc,2014
JiveDataStoreModel,Computer science,Programming languages,Misc,2005
Dynamic_Pushdown_Networks,Computer science,Programming languages,Static analysis,2025
Stratified_Datalog,Computer science,Programming languages,Static analysis,2025
IMP_Noninterference_Extension,Computer science,Programming languages,Static analysis,2024
IMP_Noninterference,Computer science,Programming languages,Static analysis,2024
Dominance_CHK,Computer science,Programming languages,Static analysis,2021
Abs_Int_ITP2012,Computer science,Programming languages,Static analysis,2016
InfPathElimination,Computer science,Programming languages,Static analysis,2016
Call_Arity,Computer science,Programming languages,Static analysis,2015
RIPEMD-160-SPARK,Computer science,Programming languages,Static analysis,2011
Shivers-CFA,Computer science,Programming languages,Static analysis,2010
HRB-Slicing,Computer science,Programming languages,Static analysis,2009
Slicing,Computer science,Programming languages,Static analysis,2008
Program-Conflict-Analysis,Computer science,Programming languages,Static analysis,2007
IMP_Noninterference_Extension,Computer science,Programming languages,Type systems,2024
IMP_Noninterference,Computer science,Programming languages,Type systems,2024
Transport,Computer science,Programming languages,Type systems,2023
MiniSail,Computer science,Programming languages,Type systems,2021
Physical_Quantities,Computer science,Programming languages,Type systems,2020
Name_Carrying_Type_Inference,Computer science,Programming languages,Type systems,2017
